question,answer,category,priority,example_situation,example_before,example_after
文章が完璧すぎてAI臭がする場合はどう修正すべきですか？,人間らしい不完全さを演出してください。微妙な表現の揺れ、自然な口語表現を追加し、完璧な敬語を避けて自然な話し言葉にしてください。同じ意味でも表現を少し変え、接続詞も自然に使ってください。,AI判定回避,Critical,文章全体が機械的に完璧,素晴らしかったです,すごく良かったです
感情表現が機械的で定型的に見える場合の対処法は？,個人的な体験感を強化してください。具体的な瞬間の感情を描写し、「〜て嬉しかった」「〜でびっくり」等の自然な感情表現を使ってください。,AI判定回避,Critical,感情が平坦で機械的,美味しかった,一口目でびっくりした
文章構造が論理的すぎる場合はどうすればいい？,自然な思考の流れに修正してください。論理的すぎる構成を崩し、感情の起伏を再現してください。「あ、そうそう」「ちなみに」等で自然な脱線も加えてください。,AI判定回避,Critical,導入→詳細→結論の完璧な構成,論理的な流れ,印象→発見→感想の自然な流れ
語彙が統一されすぎている場合の修正方法は？,年代・性格に応じた語彙の揺れを追加してください。同一人物でも語彙に微妙な揺れを持たせ、20代なら「マジで」「めちゃくちゃ」「ヤバい」を混在させるなど、自然なバラつきを作ってください。,AI判定回避,Critical,同じ語彙の繰り返し,統一された語彙,年代に応じた語彙の自然な揺れ
「SHOGUN BAR（池袋西口）」のような表記があった場合は？,即座に自然な表現に変更してください。機械的な括弧表記はAI的なので「池袋西口のSHOGUN BAR」「SHOGUN BARは池袋西口から」「池袋西口からすぐの」等に修正してください。,禁止表現検出,High,店名の機械的表記,SHOGUN BAR（池袋西口）,池袋西口のSHOGUN BAR
「ふらっと」「偶然」「たまたま」等の表現があった場合は？,計画的表現に変更してください。完全予約制と矛盾するため「予約して」「話題を聞いて」「時間ができて」「SNSで知って」「前から気になっていて」等に修正してください。,禁止表現検出,High,計画性のない表現,ふらっと立ち寄って,前から気になっていて
「友達と」「彼女と」等の同伴者言及があった場合は？,個人体験に修正してください。companion情報は内部管理用なので、本文では「友達と楽しんだ」→「楽しめた」のように主語を削除し自然な流れにしてください。,禁止表現検出,High,同伴者の直接言及,友達と楽しんだ,楽しめた
年代に対して語彙が不適切な場合はどう修正する？,世代特有の表現に調整してください。10代は「エモい」「ガチで」、20代は「マジで」「ヤバい」、30代は「とても」「かなり」、40代以上は「大変」「申し分なく」等、年代内でもHigh/Medium/Formalの3タイプに分けて調整してください。,人間らしさ強化,Medium,年代不適切な語彙使用,40代が「エモい」使用,40代らしい「格別」「秀逸」
感嘆符の使用が年代に合わない場合は？,年代・性格設定に合わせて調整してください。10代High：3-5個、20代High：2-4個、30代Medium：0-2個、40代以上Formal：0-1個。感動ポイント、驚き、おすすめ部分に集中させてください。,人間らしさ強化,Medium,年代に不適切な感嘆符,60代で感嘆符5個,60代らしい0-1個
体験談が抽象的すぎる場合の対処法は？,具体的な五感描写を追加してください。味覚：「苦味の奥にほんのり甘さ」、視覚：「やわらかい照明」、触覚：「心地よい」、聴覚：「静かに」、雰囲気：「落ち着ける」等を含めてください。,人間らしさ強化,Medium,抽象的な体験談,抽象的体験談,具体的な五感描写
文体が年代・性格設定に合わない場合は？,年代・性格設定に応じたトーン調整をしてください。Hard→Soft：「申し上げます」→「思います」、Soft→Hard：「って感じ」→「という印象です」。完璧な統一より微妙な揺れを重視してください。,人間らしさ強化,Medium,不適切な文体,年代に合わない硬さ,年代・性格に応じた自然な文体
日本酒の描写が浅い場合はどう改善する？,具体的な味覚表現を追加してください。「山廃仕込みの複雑な旨味」「香りと余韻の違い」「繊細な味わい」「深みのある香り」等、専門用語を自然に混ぜて飲み慣れた人の表現にしてください。,専門性・信憑性,High,浅い日本酒描写,日本酒が美味しかった,山廃仕込みの複雑な旨味
